Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./standard_key/java_dl/jml-information-flow.key .auto.key | 106409 | 90822 | 822 | 489825 | 486363 | 0 | 5.355123 | 275274
examples/./heap/vstte10_05_Queue/LinkedList_reverse.key .auto.key | 49389 | 35652 | 317 | 40863 | 36878 | 1 | 1.034388 | 93466
examples/./heap/list_recursiveSpec/ListOperationsNonNull_remove_normal_behavior.key .auto.key | 37429 | 15406 | 533 | 26425 | 22574 | 1 | 1.4652733 | 67310
examples/./heap/list_seq/SimplifiedLinkedList.remove.key .auto.key | 33994 | 32072 | 108 | 56647 | 52736 | 1 | 1.6443003 | 87228
examples/./standard_key/arith/gemplusDecimal/add.key .auto.key | 33569 | 27734 | 176 | 37194 | 33729 | 1 | 1.2161607 | 85478
examples/./heap/saddleback_search/Saddleback_search.key .auto.key | 31191 | 26247 | 123 | 188154 | 184607 | 1 | 7.0334516 | 98180
examples/./performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key .auto.key | 21235 | 15012 | 192 | 19934 | 15209 | 1 | 1.0131228 | 52179
examples/./heap/list_recursiveSpec/ListOperationsNonNull_getNextNN_normal_behavior.key .auto.key | 18626 | 5574 | 360 | 9342 | 5825 | 1 | 1.0450305 | 45818
examples/./heap/vstte10_05_Queue/LinkedList_concat.key .auto.key | 17731 | 13041 | 131 | 18320 | 14969 | 1 | 1.1478415 | 56056
examples/./heap/list/ArrayList_concatenate.key .auto.key | 16590 | 10969 | 259 | 23527 | 19996 | 1 | 1.8229556 | 52593
examples/./standard_key/arith/median.key .auto.key | 13735 | 13404 | 27 | 16578 | 13170 | 1 | 0.9825425 | 60235
examples/./heap/coincidence_count/project.key .auto.key | 13605 | 11487 | 106 | 22216 | 18862 | 1 | 1.6420301 | 50658
examples/./standard_key/java_dl/symmArray.key .auto.key | 13558 | 11393 | 77 | 66340 | 62940 | 1 | 5.524445 | 68671
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key .auto.key | 12104 | 6501 | 77 | 13762 | 9315 | 1 | 1.4328564 | 41725
examples/./heap/list_seq/ArrayList.remove.1.key .auto.key | 10990 | 7964 | 64 | 17866 | 14334 | 1 | 1.7998493 | 48331
examples/./standard_key/java_dl/strassen/strassen.key .auto.key | 10916 | 5088 | 165 | 17345 | 14103 | 1 | 2.771816 | 101563
examples/./heap/removeDups/removeDup.key .auto.key | 10590 | 6700 | 60 | 17093 | 13722 | 1 | 2.0480597 | 47257
examples/./performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key .auto.key | 10296 | 6118 | 98 | 14869 | 10591 | 1 | 1.7311213 | 41721
examples/./performance-test/AccessChain1(AccessChain1__foo_01()).JML_operation_contract.0.key.auto.key | 512 | 223 | 10 | 4865 | 988 | 1 | 4.4304934 | 20221
examples/./performance-test/AccessChain1(AccessChain1__foo_02()).JML_operation_contract.0.key.auto.key | 977 | 427 | 18 | 5485 | 1588 | 1 | 3.7189696 | 22494
examples/./performance-test/AccessChain1(AccessChain1__foo_03()).JML_operation_contract.0.key.auto.key | 1437 | 620 | 25 | 5957 | 2084 | 1 | 3.3612902 | 24827
examples/./performance-test/AccessChain1(AccessChain1__foo_04()).JML_operation_contract.0.key.auto.key | 1916 | 829 | 33 | 6355 | 2552 | 1 | 3.0784078 | 27399
